row,actual,ridge,random_forest
287,219.0,155.05694167595848,153.11657222979977
211,70.0,161.49657818322794,184.8007425289561
72,202.0,152.76405579519817,150.27868804634198
321,230.0,236.9914982503769,248.79500943500946
73,111.0,144.86847219075455,112.28310656517834
418,84.0,126.27919967770934,112.11279772118587
367,242.0,211.38284590714633,256.19345398343677
354,272.0,184.74151722997624,207.2558254605848
281,94.0,115.15615858945901,145.8946004948725
148,96.0,135.66760592974217,164.3036388343023
429,94.0,117.99927403782594,95.32473223045578
78,252.0,143.75682557963754,164.39912249469847
126,99.0,91.63320317320482,88.26762076987083
113,297.0,192.21048992674696,238.06865065828
329,135.0,126.60094366876973,89.00894164848052
427,67.0,139.15616152798034,136.15188742848022
172,295.0,198.49244120752422,219.55171350234912
268,264.0,214.74871438239327,274.0861144639674
76,170.0,167.94623028053672,213.0944039186628
116,275.0,192.46981253723416,233.41723188279062
9,310.0,169.87718658784908,147.5857845977361
181,64.0,117.31405878862168,111.72752109180401
55,128.0,102.77709512262086,76.70699777166892
399,232.0,177.37111960846454,206.83918448716517
30,129.0,145.0743345137824,132.72977662158033
140,118.0,163.30703841769756,185.16881548489985
341,263.0,174.28443223090463,211.03536233726967
209,77.0,169.7462017134157,154.45119573672204
436,48.0,84.44536847054187,74.58666774126691
132,107.0,140.0141341341323,110.85363838784171
407,140.0,167.8204220698252,194.06667635134593
79,113.0,115.6348209135154,101.464532908288
39,90.0,143.55723924853655,173.92856554866574
333,164.0,174.19393647630247,195.30083738634303
311,180.0,168.43564162210157,146.80372346085613
422,233.0,176.37994718208225,220.9725403900021
75,42.0,141.247364100353,98.32116409093908
157,84.0,143.7697463068455,101.73544505938418
307,172.0,163.29055503528895,184.85859952959356
370,63.0,94.59204979908718,79.21217946379518
70,48.0,109.43305407220437,79.21021458679834
227,108.0,131.38778299638741,110.73654519337792
284,156.0,155.11948061301138,168.83397746988564
402,168.0,164.04224359332983,145.04536470447783
199,90.0,160.8550362744919,166.54405566474674
82,52.0,98.10518249036454,86.87418850658807
77,200.0,104.78783716089018,80.09913137701584
33,87.0,113.75089869130663,118.34537169292618
358,90.0,93.93591561493217,75.18471416304803
395,258.0,144.71270993919654,145.0384249576388
411,136.0,139.16483860067805,122.21289482280166
131,158.0,94.95376718959815,88.2718309530826
11,69.0,140.74715065936007,171.48134428330974
386,72.0,123.25657267435588,93.19274529054445
15,171.0,174.43791336264354,181.01939722064432
104,95.0,144.14063576857723,146.71939480496988
196,72.0,121.86738461001252,94.37738717001949
0,151.0,179.63416404286764,220.67751353617476
19,168.0,123.424388973863,91.84756586040254
286,60.0,90.70862336481883,83.1280351374598
320,122.0,174.344277198991,161.20469548370576
56,52.0,168.47009083500478,166.91448847656426
244,187.0,140.43307217912476,146.3399565821588
101,102.0,132.6227895043503,108.0052962365604
218,214.0,136.4787684072648,121.36887054920693
291,248.0,177.18218254830362,231.2908030540765
409,181.0,170.66603938175314,180.4947048144666
388,110.0,159.4601255483761,183.09770781745127
374,140.0,114.9644760801863,142.77036878183034
25,202.0,146.90474735475738,127.86552054922346
185,101.0,166.49154535080274,163.26376012736273
203,222.0,185.99177758268672,219.04308277503543
117,281.0,208.4721810052398,198.45767425081632
42,61.0,145.5756989698066,120.95206358612566
296,89.0,108.00831919996968,93.2309565828025
423,91.0,163.38200571399966,165.1018037030386
155,186.0,186.2947446112937,218.54044406222738
440,220.0,174.7575956796878,152.2992804146363
176,237.0,162.12877956176405,185.10191796054738
285,233.0,177.7499241483089,190.79798809882942
22,68.0,125.72091411901923,93.56818524961714
46,190.0,127.8564226732585,120.21304513187822
93,96.0,89.19495426602722,82.97319920042963
433,72.0,96.96811532914896,78.45108715520954
255,153.0,125.02971882712527,79.47331662166559
90,98.0,107.94106475390785,79.03340094555415
57,37.0,94.976872402141,90.56093216311886
391,63.0,93.92271523985823,79.7474253480286
24,184.0,146.65799849017333,153.87459539695882
17,144.0,179.23111882530216,208.19409560301904
66,150.0,156.90215176122405,111.97934906856021
137,280.0,188.2494807522875,218.15015108256864
245,125.0,108.24203154740901,87.769578172813
31,59.0,92.56304996999458,75.77751950069955
84,65.0,87.72862863907869,81.01574980635299
360,281.0,170.95900411116168,196.23888864507214
390,277.0,215.71219939318001,255.64424829615882
369,167.0,165.32665580484203,138.59651154092572
94,90.0,111.9596314322054,98.90221736475759
237,72.0,104.92694105845561,86.52843122587932
437,178.0,177.33065465443644,229.96933128800617
349,88.0,125.95527532192962,107.63415487446915
332,270.0,223.90766514261895,296.0990325856624
173,101.0,113.10326967413532,121.47311683608979
154,197.0,157.5025950311149,177.00435630444628
5,97.0,104.99935899860954,112.66129819969933
45,53.0,139.98889636123369,119.5081730533481
153,71.0,146.37663262423126,133.05372770625695
239,262.0,163.88945466311338,202.26387420878973
380,52.0,159.2482898457199,199.68956793166504
278,102.0,140.49282219456774,121.08857987922771
16,166.0,171.2077940144017,217.18917033286263
408,189.0,182.8789891181603,183.76903075509637
432,173.0,189.75994588971434,197.1110076777422
316,220.0,179.89913853168517,199.6208564627433
3,206.0,151.17294912401366,166.9533283573363
18,97.0,141.2014296621324,123.65093441269788
355,60.0,141.80239900081617,108.7933241025919
60,61.0,113.92451176394222,104.60000434945295
398,242.0,153.87080287830014,178.76693572190766
124,121.0,149.8273823952686,194.39007711317893
63,128.0,118.98671374617608,113.35647897704757
110,104.0,106.77234618811036,81.51786847366935
280,265.0,159.08331692883266,189.55668730221677
439,132.0,144.54145652388164,100.9969972693772
29,283.0,163.62416834675994,185.1422080506403
415,174.0,162.36925549405112,164.01191191352785
298,129.0,125.57786082232823,135.16394299124912
238,257.0,177.9847320281601,151.2575913445179
26,137.0,103.79281208644726,100.95036369642767
7,63.0,153.11781575885487,163.25244845098973
401,93.0,108.73853203428945,79.30477989702962
108,232.0,194.0991867221435,231.01664201454318
225,208.0,194.79946204296957,237.9374339214903
412,261.0,197.66245087224402,262.6950222424634
118,179.0,165.36021878151269,154.61186206750543
114,258.0,223.26582290851778,288.33649157240507
364,262.0,164.28011733950748,123.7879261201998
389,51.0,105.3592160583931,78.38272676148077
327,237.0,188.58935263075776,251.7865651940652
351,71.0,110.22630895184119,95.15523002168989
346,139.0,180.85186154408404,205.11534353820429
168,268.0,207.45126957702414,203.1510906582113
393,69.0,113.67915525910263,97.11643869422382
141,317.0,201.3052572827572,200.5659180309079
324,249.0,189.53269443391517,167.30826753423088
231,154.0,151.4309654073086,102.66385468224694
325,192.0,190.202861781973,195.39836596669355
193,116.0,156.53789517535873,156.62970156586331
109,81.0,165.52631100195066,141.26847826710502
195,122.0,171.336045988462,189.28330440501009
145,259.0,184.28069191171397,273.55608404558404
210,191.0,133.0004498564074,165.80652047428262
152,292.0,191.33501227921116,181.53931355735767
294,55.0,127.03638783605552,96.75643673327143
