row,actual,predicted,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
1296,9,9,7.390794853910865e-06,8.096913940012098e-08,1.963678909699717e-07,2.436224115673899e-06,3.947412815115421e-07,2.506752988241344e-06,2.8961983297829618e-08,6.655879870388703e-07,3.26193299064122e-05,0.9999536802698537
1743,8,8,1.4722362385311118e-05,6.565230455269139e-05,3.4937428521932854e-06,0.001352339792011598,3.2960464867318335e-05,0.00012619017781177231,0.00014391845193912126,7.907910665309076e-05,0.9901899618524158,0.007991681744511068
805,9,9,0.0004170399661225778,3.410850667247067e-05,0.00012225128358547575,0.00010422999238467272,5.048974980979914e-06,5.234303529348113e-07,2.2804559498554878e-05,2.0986239121725193e-05,0.0009026478446712555,0.9983703592026094
1642,0,0,0.9991711239544223,1.4816223653321098e-05,1.5482263919666382e-06,4.9638377718387637e-08,0.00017426269154085023,7.866316448983896e-05,0.0005018722127282297,1.0293706541310441e-05,1.739389563052938e-05,2.9976286224116334e-05
1337,2,2,8.497985014719576e-06,2.1400862235460704e-06,0.9955850969763264,0.0036543208394047956,1.394770362119404e-07,4.872486517246115e-06,4.196089199757865e-08,2.26961278040531e-05,3.6954999471155573e-06,0.0007184985608338981
1509,7,7,5.04188511619977e-05,8.362722279545408e-06,2.2641487183715627e-05,0.0004870848673967386,0.0021996608282845937,0.0006905336706005221,4.0620702002836483e-07,0.9957777540907474,4.2261837670494785e-05,0.0007208754376548333
977,2,2,1.1284015721370744e-08,2.239819284262137e-06,0.999922677306604,7.459926908490042e-05,5.934189743407172e-10,3.8412105172338485e-08,2.717079504690666e-09,2.7692918761259773e-07,3.728254740503862e-08,1.1638667232028622e-07
1256,1,8,0.012908108439545192,0.2566941022322234,0.0031888471474056527,2.964016133456968e-06,0.006190747351482831,0.02904847873432463,0.1783135680458076,0.012274611533545868,0.49956872223962406,0.0018098502599072702
1090,3,3,6.295409007916499e-08,3.7949778289128035e-09,3.686182955006979e-05,0.9978630329377806,4.943971234510387e-11,5.5103199831905584e-06,1.089782038441283e-09,1.1391681548251983e-06,1.053581954165318e-05,0.0020828520367003017
399,3,3,0.0002986209750371915,1.7521872923737163e-05,0.0394822521545104,0.9366168772557176,2.84366610686e-07,0.011133424735889656,0.00018743155677605603,6.335330934882081e-05,0.0012225618822221012,0.010977671890963664
