row,actual,predicted,prob_0,prob_1,prob_2
22,0,0,0.9954482477571619,0.004551549788526166,2.0245431197668834e-07
88,1,1,0.12398130798697495,0.7994922201582576,0.07652647185476744
20,0,0,0.9376311028916908,0.06236329894813293,5.598160176352587e-06
7,0,0,0.9724874952709556,0.0275104843054545,2.020423589955281e-06
147,2,2,0.001260024515584388,0.16672284859750436,0.8320171268869112
42,0,0,0.9824240157891696,0.017574954879366066,1.0293314644306896e-06
123,2,2,0.002034653045802622,0.39259031697192176,0.6053750299822757
96,1,1,0.06984967211313842,0.8421622772422351,0.08798805064462645
122,2,2,5.692295105742867e-06,0.039609472346886554,0.9603848353580078
69,1,1,0.030711422971493343,0.9397127754299996,0.02957580159850701
140,2,2,0.00010246993494189373,0.025390360112406075,0.9745071699526521
116,2,2,0.0017451048110072446,0.23904612513137072,0.759208770057622
53,1,1,0.013122349389390747,0.9177973277535029,0.06908032285710623
132,2,2,0.00015019948127035,0.05633167391133083,0.9435181266073988
35,0,0,0.9538217118960904,0.04617596228431772,2.3258195918440423e-06
2,0,0,0.970398188795188,0.029600110079705217,1.7011251068252645e-06
41,0,0,0.5913537833900955,0.4086164787884982,2.9737821406351916e-05
28,0,0,0.9637777622668188,0.036219891625993816,2.3461071872675373e-06
138,2,2,0.011666102575087524,0.3975028589023329,0.5908310385225797
55,1,1,0.03859185941574818,0.8404977046436966,0.12091043594055507
104,2,2,0.0001809256325981855,0.04409166014682213,0.9557274142205796
78,1,1,0.02425838517490878,0.7407190744770616,0.23502254034802966
108,2,2,0.0001257284145645975,0.1999525995084232,0.7999216720770121
127,2,2,0.008543200640132574,0.3736174376726228,0.6178393616872447
145,2,2,0.0002356455587952354,0.05833781601141177,0.9414265384297928
67,1,1,0.042928071759509794,0.9316784538947065,0.02539347434578372
21,0,0,0.9870721424580785,0.012925654645569409,2.202896352056234e-06
57,1,1,0.11481200448392698,0.8755279855583875,0.0096600099576855
10,0,0,0.9816988269363418,0.01829978529363673,1.3877700213552616e-06
106,2,1,0.0247202168228032,0.5754534341632227,0.39982634901397407
63,1,1,0.0201166722910577,0.7739101297015939,0.20597319800734823
107,2,2,8.183660339476814e-05,0.12026122767319163,0.8796569357234136
39,0,0,0.9673066485079947,0.03269096570000821,2.3857919968819683e-06
38,0,0,0.9634237063365038,0.036574231864189566,2.061799306755795e-06
141,2,2,0.00028554405149097597,0.06446719006853292,0.9352472658799761
1,0,0,0.9097029465320331,0.09029153159874884,5.521869217931351e-06
66,1,1,0.06801415389480645,0.6998615828913778,0.23212426321381574
14,0,0,0.9901907403682136,0.00980871234300238,5.47288783783529e-07
23,0,0,0.9306538812929559,0.06932574304130316,2.0375665741069322e-05
51,1,1,0.03608419171898584,0.7260426520995894,0.23787315618142468
93,1,1,0.06937674429743576,0.9207194848950542,0.009903770807510247
56,1,1,0.040418965744049164,0.5903058366403069,0.369275197615644
99,1,1,0.05306471140707656,0.8675126947254519,0.07942259386747152
85,1,1,0.11448195328743714,0.5831954065984467,0.302322640114116
84,1,1,0.09406238287338892,0.6781567638062609,0.22778085332035025
18,0,0,0.9731735305999086,0.026822682306781212,3.7870933102379762e-06
37,0,0,0.9905987559515135,0.009400809890318875,4.3415816790007705e-07
134,2,1,0.002595418053810185,0.5885318311315966,0.40887275081459334
75,1,1,0.015990758823852272,0.8287830919002863,0.1552261492758613
133,2,1,0.005325260813599381,0.621037945429107,0.37363679375729364
111,2,2,0.0006498641810628533,0.21841577367161769,0.7809343621473195
77,1,2,0.003627879463628765,0.4527998406680097,0.5435722798683614
148,2,2,0.0016270054676750167,0.04242220215894052,0.9559507923733844
