row,actual,predicted,prob_0,prob_1,prob_2
68,1,0,0.4049039810869309,0.29658083611517494,0.298515182797894
164,2,2,0.0017685554820323366,0.0017164448163079643,0.9965149997016596
10,0,0,0.9993747537816007,0.0005785310817337133,4.671513666555906e-05
105,1,1,0.002160419023855288,0.9937904094187036,0.004049171557441277
48,0,0,0.9866443823169848,0.011326904751744913,0.0020287129312702283
87,1,1,0.0006950587177485144,0.9988678008441483,0.000437140438103262
177,2,2,0.0013370863127884968,0.0001710855006850879,0.9984918281865263
169,2,2,0.002531172351257557,0.00026606377788699584,0.9972027638708555
124,1,1,0.006261521438655319,0.9934948707692584,0.00024360779208631796
144,2,2,0.00736643357410547,0.008112541629418652,0.9845210247964759
14,0,0,0.9999687296724311,2.6385525049784238e-05,4.884802519343043e-06
60,1,1,0.02689072155523499,0.9204179898581485,0.0526912885866165
132,2,2,0.0010210087664641993,0.047467044852953194,0.9515119463805826
18,0,0,0.9999640252323445,8.142809790106938e-06,2.783195786532098e-05
98,1,1,0.07976346262719208,0.9200402442146643,0.00019629315814347192
84,1,1,0.013282755474459142,0.9853095412894327,0.001407703236108307
23,0,0,0.9130849571100932,0.08400175563223598,0.002913287257670684
72,1,1,0.02472735541865403,0.9318693503507188,0.04340329423062707
46,0,0,0.9987216432133778,0.0011009399293769474,0.00017741685724550249
130,2,2,0.02664688243683679,0.24060861747407936,0.7327445000890839
102,1,1,0.043896925882851275,0.9395774902484074,0.016525583868741218
89,1,1,0.0011896516421390254,0.9982320341557276,0.0005783142021334534
148,2,2,0.0021522693335735586,0.002200594656042196,0.9956471360103842
138,2,2,0.007361571288733473,0.04188659702426984,0.9507518316869966
134,2,2,0.009826785328409629,0.4010078744320292,0.5891653402395612
28,0,0,0.9915202114648964,0.007903902344615046,0.0005758861904886344
166,2,2,0.004291310173950285,0.0009232620869841816,0.9947854277390655
118,1,1,0.008935782591034818,0.7620390649158146,0.22902515249315042
2,0,0,0.9883040203394347,0.011145748772884885,0.0005502308876805532
29,0,0,0.9845389220501596,0.014609262981857603,0.0008518149679827808
20,0,0,0.9911171563960114,0.008681581682193582,0.00020126192179507665
128,1,1,0.0005496704913888952,0.9990295911103335,0.00042073839827774036
129,1,1,0.009153327710495497,0.928162533126886,0.06268413916261852
93,1,1,0.0023807900978045477,0.9975278895361392,9.132036605617044e-05
156,2,2,0.0030612832749490376,0.0017082962753561621,0.9952304204496949
100,1,1,0.004834004250495037,0.9950198716747112,0.0001461240747936258
108,1,1,0.0005184273393009716,0.9993451387280667,0.0001364339326322259
92,1,1,0.0014541743309358748,0.989740428764427,0.008805396904637086
165,2,2,0.001738979423072846,0.0143196691905061,0.9839413513864209
143,2,2,0.03431200870987795,0.07757209179830488,0.8881158994918172
62,1,1,0.112512397502238,0.8716596019454935,0.015828000552268285
76,1,1,0.0033608347759775995,0.9961769104415682,0.0004622547824541365
66,1,1,0.03711764550882851,0.9628303989936464,5.195549752501989e-05
73,1,0,0.5023620710044173,0.4959888280913581,0.0016491009042245788
22,0,0,0.9898836291188688,0.009907134000089027,0.00020923688104219828
155,2,2,0.0012751330182232763,0.0022497715320988813,0.9964750954496779
42,0,0,0.9995838567475619,0.0002559664347454289,0.00016017681769263324
1,0,0,0.9893839487721905,0.01015637599251811,0.00045967523529140067
39,0,0,0.9988981587119063,0.0005565770853630536,0.0005452642027304981
35,0,0,0.9264888865445041,0.07101805351160893,0.002493059943886839
51,0,0,0.9972714946313164,0.002560429986897426,0.00016807538178609005
142,2,2,0.006269489370777697,0.021807382748305952,0.9719231278809164
38,0,0,0.7378182499417465,0.2596374744168758,0.002544275641377937
58,0,0,0.9993694918035106,0.00032169493071670696,0.0003088132657725484
176,2,2,0.0060369343550326065,0.001274562740019522,0.9926885029049479
21,0,0,0.8598510984056361,0.12855497868458463,0.01159392290977924
121,1,1,0.3469104001171862,0.6505284958218867,0.0025611040609270323
64,1,1,0.00244162535185616,0.9964242966101233,0.0011340780380205263
94,1,1,0.0037419385903114727,0.9959278283429452,0.00033023306674324573
7,0,0,0.9990166797201491,0.00016122791940110162,0.0008220923604497912
112,1,1,0.06165621598106372,0.8953641776185677,0.0429796064003687
173,2,2,0.0028794501445947294,0.0002767396725769684,0.9968438101828283
43,0,0,0.7912241551204457,0.1713280253662598,0.0374478195132944
