fixed_x,fixed_y,registered_x,registered_y
35.0,128.0,33.0090652671347,127.7015172284595
220.0,128.0,217.99103220885598,130.28452059120136
75.0,65.0,73.88478358887303,65.26614542943913
75.0,190.0,72.13951104647987,190.25396093060215
130.0,55.0,129.0190442127762,56.03504010799908
130.0,200.0,126.99452806360014,201.02090608934822
185.0,75.0,183.73443942650505,76.80101050683815
185.0,180.0,182.26841049089478,181.7907755278151
110.0,100.0,108.3926956173286,100.75141008163487
110.0,155.0,107.6247756986756,155.7460489021466
155.0,100.0,153.38830919774728,101.3797081968964
155.0,155.0,152.6203892790943,156.37434701740813
